,step_number,num_node_before_batching,num_edge_before_batching,num_graphs_before_batching,num_node_after_batching,num_edge_after_batching,num_graphs_after_batching
0,0,2268,39352,127,2304,39936,128
1,1,2261,39924,125,2304,39936,128
2,2,2236,38132,127,2304,39936,128
3,3,2267,39704,125,2304,39936,128
4,4,2278,39914,127,2304,39936,128
5,5,2269,39538,127,2304,39936,128
6,6,2270,39190,127,2304,39936,128
7,7,2279,39748,127,2304,39936,128
8,8,2236,39846,122,2304,39936,128
9,9,2268,39862,125,2304,39936,128
10,10,2245,39642,123,2304,39936,128
11,11,2239,39670,123,2304,39936,128
12,12,2268,39584,127,2304,39936,128
13,13,2275,39810,126,2304,39936,128
14,14,2266,39768,126,2304,39936,128
15,15,2239,38202,127,2304,39936,128
16,16,2272,39402,127,2304,39936,128
17,17,2232,38110,127,2304,39936,128
18,18,2241,39696,123,2304,39936,128
19,19,2243,39874,123,2304,39936,128
20,20,2257,39616,124,2304,39936,128
21,21,2281,39630,127,2304,39936,128
22,22,2252,39660,125,2304,39936,128
23,23,2277,39804,127,2304,39936,128
24,24,2242,38556,127,2304,39936,128
25,25,2229,39904,121,2304,39936,128
26,26,2256,38938,127,2304,39936,128
27,27,2289,39888,127,2304,39936,128
28,28,2273,39626,126,2304,39936,128
29,29,2237,39934,122,2304,39936,128
30,30,2267,39184,127,2304,39936,128
31,31,2270,39658,127,2304,39936,128
32,32,2228,39342,122,2304,39936,128
33,33,2268,39840,125,2304,39936,128
34,34,2247,39932,124,2304,39936,128
35,35,2256,39014,127,2304,39936,128
36,36,2178,39564,116,2304,39936,128
37,37,2229,39638,122,2304,39936,128
38,38,2257,39684,125,2304,39936,128
39,39,2265,39246,127,2304,39936,128
40,40,2288,39782,127,2304,39936,128
41,41,2213,39504,120,2304,39936,128
42,42,2259,39684,126,2304,39936,128
43,43,2270,39776,125,2304,39936,128
44,44,2259,39774,124,2304,39936,128
45,45,2280,39604,127,2304,39936,128
46,46,2258,39038,127,2304,39936,128
47,47,2242,39878,123,2304,39936,128
48,48,2238,38050,127,2304,39936,128
49,49,2272,39338,127,2304,39936,128
50,50,2201,39626,119,2304,39936,128
51,51,2262,39838,125,2304,39936,128
52,52,2242,39846,122,2304,39936,128
53,53,2240,39868,122,2304,39936,128
54,54,2271,39326,127,2304,39936,128
55,55,2278,39590,127,2304,39936,128
56,56,2261,39202,127,2304,39936,128
57,57,2242,39680,123,2304,39936,128
58,58,2264,39206,127,2304,39936,128
59,59,2238,39798,122,2304,39936,128
60,60,2280,39622,127,2304,39936,128
61,61,2199,39872,118,2304,39936,128
62,62,2271,39900,126,2304,39936,128
63,63,2260,38948,127,2304,39936,128
64,64,2279,39860,126,2304,39936,128
65,65,2190,39534,118,2304,39936,128
66,66,2253,39764,124,2304,39936,128
67,67,2267,39816,125,2304,39936,128
68,68,2220,39704,121,2304,39936,128
69,69,2289,39786,127,2304,39936,128
70,70,2247,39918,123,2304,39936,128
71,71,2275,39544,127,2304,39936,128
72,72,2280,39916,126,2304,39936,128
73,73,2250,39764,124,2304,39936,128
74,74,2260,39174,127,2304,39936,128
75,75,2250,39644,124,2304,39936,128
76,76,2267,39632,126,2304,39936,128
77,77,2252,38770,127,2304,39936,128
78,78,2266,39896,125,2304,39936,128
79,79,2247,38720,127,2304,39936,128
80,80,2245,39654,124,2304,39936,128
81,81,2222,39804,120,2304,39936,128
82,82,2266,39760,125,2304,39936,128
83,83,2284,39832,127,2304,39936,128
84,84,2279,39840,127,2304,39936,128
85,85,2275,39890,126,2304,39936,128
86,86,2262,39364,127,2304,39936,128
87,87,2254,39722,124,2304,39936,128
88,88,2273,39886,125,2304,39936,128
89,89,2250,38740,127,2304,39936,128
90,90,2272,39558,127,2304,39936,128
91,91,2259,39632,126,2304,39936,128
92,92,2265,39320,127,2304,39936,128
93,93,2210,37332,127,2304,39936,128
94,94,2211,39408,120,2304,39936,128
95,95,2278,39674,127,2304,39936,128
96,96,2235,38200,127,2304,39936,128
97,97,2242,39668,124,2304,39936,128
98,98,2267,39808,126,2304,39936,128
99,99,2269,39308,127,2304,39936,128
100,100,2268,39918,125,2304,39936,128
101,101,2264,39334,127,2304,39936,128
102,102,2255,39550,125,2304,39936,128
103,103,2271,39518,127,2304,39936,128
104,104,2258,38982,127,2304,39936,128
105,105,2251,39700,124,2304,39936,128
106,106,2271,39758,126,2304,39936,128
107,107,2212,39702,119,2304,39936,128
108,108,2236,37920,127,2304,39936,128
109,109,2281,39828,127,2304,39936,128
110,110,2264,39598,126,2304,39936,128
111,111,2276,39634,127,2304,39936,128
112,112,2268,39228,127,2304,39936,128
113,113,2280,39832,127,2304,39936,128
114,114,2205,39810,118,2304,39936,128
115,115,2239,38242,127,2304,39936,128
116,116,2251,38696,127,2304,39936,128
117,117,2277,39808,127,2304,39936,128
118,118,2233,37968,127,2304,39936,128
119,119,2242,39638,124,2304,39936,128
120,120,2264,39840,125,2304,39936,128
121,121,2261,39366,127,2304,39936,128
122,122,2264,39570,125,2304,39936,128
123,123,2247,39778,123,2304,39936,128
124,124,2266,39152,127,2304,39936,128
125,125,2269,39258,127,2304,39936,128
126,126,2243,39638,123,2304,39936,128
127,127,2237,39772,122,2304,39936,128
128,128,2260,39190,127,2304,39936,128
129,129,2278,39916,126,2304,39936,128
130,130,2279,39532,127,2304,39936,128
131,131,2230,37958,127,2304,39936,128
132,132,2267,38970,127,2304,39936,128
133,133,2188,39824,117,2304,39936,128
134,134,2287,39914,127,2304,39936,128
135,135,2240,39504,123,2304,39936,128
136,136,2233,38208,127,2304,39936,128
137,137,2280,39798,127,2304,39936,128
138,138,2262,39904,125,2304,39936,128
139,139,2229,39654,122,2304,39936,128
140,140,2286,39834,127,2304,39936,128
141,141,2247,38668,127,2304,39936,128
142,142,2238,39730,122,2304,39936,128
143,143,2271,39410,127,2304,39936,128
144,144,2257,39008,127,2304,39936,128
145,145,2266,39020,127,2304,39936,128
146,146,2265,39930,125,2304,39936,128
147,147,2261,38926,127,2304,39936,128
148,148,2262,39280,127,2304,39936,128
149,149,2247,39796,123,2304,39936,128
150,150,2235,39872,122,2304,39936,128
151,151,2260,39300,127,2304,39936,128
152,152,2273,39898,126,2304,39936,128
153,153,2242,38390,127,2304,39936,128
154,154,2274,39906,126,2304,39936,128
155,155,2219,39920,120,2304,39936,128
156,156,2242,38680,127,2304,39936,128
157,157,2250,38648,127,2304,39936,128
158,158,2275,39518,127,2304,39936,128
159,159,2285,39888,126,2304,39936,128
160,160,2274,39678,127,2304,39936,128
161,161,2272,39520,127,2304,39936,128
162,162,2274,39504,127,2304,39936,128
163,163,2224,39714,121,2304,39936,128
164,164,2252,39764,124,2304,39936,128
165,165,2235,39630,123,2304,39936,128
166,166,2246,39878,123,2304,39936,128
167,167,2268,39854,125,2304,39936,128
168,168,2255,39664,125,2304,39936,128
169,169,2220,37936,127,2304,39936,128
170,170,2271,39750,126,2304,39936,128
171,171,2233,39704,122,2304,39936,128
172,172,2264,39018,127,2304,39936,128
173,173,2224,37730,127,2304,39936,128
174,174,2280,39900,127,2304,39936,128
175,175,2264,39362,127,2304,39936,128
176,176,2263,39888,125,2304,39936,128
177,177,2289,39902,127,2304,39936,128
178,178,2240,38350,127,2304,39936,128
179,179,2246,39882,123,2304,39936,128
180,180,2280,39762,127,2304,39936,128
181,181,2252,39642,124,2304,39936,128
182,182,2265,39190,127,2304,39936,128
183,183,2238,39824,122,2304,39936,128
184,184,2267,39226,127,2304,39936,128
185,185,2254,39478,125,2304,39936,128
186,186,2213,39820,120,2304,39936,128
187,187,2279,39844,127,2304,39936,128
188,188,2247,38468,127,2304,39936,128
189,189,2237,39432,123,2304,39936,128
190,190,2267,39842,125,2304,39936,128
191,191,2236,39814,122,2304,39936,128
192,192,2197,39780,119,2304,39936,128
193,193,2254,38792,127,2304,39936,128
194,194,2260,39154,127,2304,39936,128
195,195,2286,39834,127,2304,39936,128
196,196,2249,39892,123,2304,39936,128
197,197,2258,39048,127,2304,39936,128
198,198,2238,38286,127,2304,39936,128
199,199,2204,39668,119,2304,39936,128
200,200,2250,39650,125,2304,39936,128
201,201,2243,39556,123,2304,39936,128
202,202,2257,39726,125,2304,39936,128
203,203,2274,39494,127,2304,39936,128
204,204,2201,39656,119,2304,39936,128
205,205,2279,39496,127,2304,39936,128
206,206,2254,38778,127,2304,39936,128
207,207,2235,39902,121,2304,39936,128
208,208,2255,38926,127,2304,39936,128
209,209,2288,39800,127,2304,39936,128
210,210,2218,37852,127,2304,39936,128
211,211,2261,39098,127,2304,39936,128
212,212,2258,38992,127,2304,39936,128
213,213,2282,39724,127,2304,39936,128
214,214,2214,39718,120,2304,39936,128
215,215,2274,39636,127,2304,39936,128
216,216,2267,39590,127,2304,39936,128
217,217,2276,39890,126,2304,39936,128
218,218,2263,39816,125,2304,39936,128
219,219,2213,39838,120,2304,39936,128
220,220,2246,38912,127,2304,39936,128
221,221,2271,39896,126,2304,39936,128
222,222,2266,39886,125,2304,39936,128
223,223,2272,39564,127,2304,39936,128
224,224,2238,39736,123,2304,39936,128
225,225,2207,39906,119,2304,39936,128
226,226,2250,38402,127,2304,39936,128
227,227,2262,39240,127,2304,39936,128
228,228,2253,38952,127,2304,39936,128
229,229,2257,39098,127,2304,39936,128
230,230,2242,38522,127,2304,39936,128
231,231,2260,39172,127,2304,39936,128
232,232,2289,39830,127,2304,39936,128
233,233,2259,39184,127,2304,39936,128
234,234,2224,39562,122,2304,39936,128
235,235,2245,38368,127,2304,39936,128
236,236,2239,39572,123,2304,39936,128
237,237,2282,39744,127,2304,39936,128
238,238,2250,39598,124,2304,39936,128
239,239,2224,39684,121,2304,39936,128
240,240,2241,39682,123,2304,39936,128
241,241,2279,39910,126,2304,39936,128
242,242,2237,39804,122,2304,39936,128
243,243,2260,39716,125,2304,39936,128
244,244,2268,39698,126,2304,39936,128
245,245,2256,39108,127,2304,39936,128
246,246,2287,39926,127,2304,39936,128
247,247,2243,39862,123,2304,39936,128
248,248,2273,39614,127,2304,39936,128
249,249,2267,39826,125,2304,39936,128
250,250,2239,38202,127,2304,39936,128
251,251,2243,38234,127,2304,39936,128
252,252,2235,39710,122,2304,39936,128
253,253,2245,38588,127,2304,39936,128
254,254,2260,39120,127,2304,39936,128
255,255,2236,39926,122,2304,39936,128
256,256,2208,39518,120,2304,39936,128
257,257,2219,39748,120,2304,39936,128
258,258,2269,39402,127,2304,39936,128
259,259,2265,39416,127,2304,39936,128
260,260,2217,37582,127,2304,39936,128
261,261,2254,39060,127,2304,39936,128
262,262,2233,38450,127,2304,39936,128
263,263,2239,39574,123,2304,39936,128
264,264,2247,39822,124,2304,39936,128
265,265,2269,39222,127,2304,39936,128
266,266,2273,39794,126,2304,39936,128
267,267,2274,39782,126,2304,39936,128
268,268,2253,38908,127,2304,39936,128
269,269,2247,38876,127,2304,39936,128
270,270,2264,39048,127,2304,39936,128
271,271,2229,37978,127,2304,39936,128
272,272,2266,39800,126,2304,39936,128
273,273,2177,39776,116,2304,39936,128
274,274,2218,37598,127,2304,39936,128
275,275,2268,39292,127,2304,39936,128
276,276,2273,39456,127,2304,39936,128
277,277,2256,39840,124,2304,39936,128
278,278,2245,38356,127,2304,39936,128
279,279,2284,39762,127,2304,39936,128
280,280,2261,38890,127,2304,39936,128
281,281,2245,39682,124,2304,39936,128
282,282,2268,39460,127,2304,39936,128
283,283,2279,39892,126,2304,39936,128
284,284,2253,39770,123,2304,39936,128
285,285,2257,39582,125,2304,39936,128
286,286,2263,39092,127,2304,39936,128
287,287,2265,39266,127,2304,39936,128
288,288,2267,39328,127,2304,39936,128
289,289,2253,39742,124,2304,39936,128
290,290,2264,39032,127,2304,39936,128
291,291,2277,39896,126,2304,39936,128
292,292,2232,38184,127,2304,39936,128
293,293,2263,39344,127,2304,39936,128
294,294,2239,39626,122,2304,39936,128
295,295,2259,39812,125,2304,39936,128
296,296,2277,39694,127,2304,39936,128
297,297,2259,39932,124,2304,39936,128
298,298,2240,39782,122,2304,39936,128
299,299,2265,39802,125,2304,39936,128
300,300,2248,38806,127,2304,39936,128
301,301,2230,38048,127,2304,39936,128
302,302,2256,39580,125,2304,39936,128
303,303,2269,39764,126,2304,39936,128
304,304,2245,38376,127,2304,39936,128
305,305,2287,39804,127,2304,39936,128
306,306,2203,39634,120,2304,39936,128
307,307,2258,39668,125,2304,39936,128
308,308,2257,39124,127,2304,39936,128
309,309,2271,39734,126,2304,39936,128
310,310,2250,39634,124,2304,39936,128
311,311,2269,39552,127,2304,39936,128
312,312,2259,39820,125,2304,39936,128
313,313,2222,39686,121,2304,39936,128
314,314,2195,39718,118,2304,39936,128
315,315,2263,39170,127,2304,39936,128
316,316,2186,39732,117,2304,39936,128
317,317,2243,38348,127,2304,39936,128
318,318,2275,39822,126,2304,39936,128
319,319,2274,39870,126,2304,39936,128
320,320,2248,38502,127,2304,39936,128
321,321,2280,39844,127,2304,39936,128
322,322,2273,39358,127,2304,39936,128
